,Id,Label,timeset,modularity_class,labeldiff,kingdom,phylum,class,order,family,genus,species,name,abun
502,Zotu247,Zotu247,NA,26,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,NA,Zotu247,0.001138
503,Zotu5944,Zotu5944,NA,1,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu5944,0.000196
504,Zotu595,Zotu595,NA,13,other,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA,Zotu595,0.000354
505,Zotu596,Zotu596,NA,21,other,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,uncultured_bacterium,Zotu596,0.000428
506,Zotu597,Zotu597,NA,0,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,NA,Zotu597,0.00035
507,Zotu599,Zotu599,NA,20,diff,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,NA,Zotu599,0.000474
508,Zotu60,Zotu60,NA,1,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA,Zotu60,0.001648
509,Zotu496,Zotu496,NA,1,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA,Zotu496,0.000207
510,Zotu605,Zotu605,NA,13,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu605,0.000327
511,Zotu608,Zotu608,NA,2,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,uncultured_bacterium,Zotu608,0.000293
512,Zotu609,Zotu609,NA,0,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu609,2.00E-04
513,Zotu61,Zotu61,NA,8,other,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,uncultured_Anaerovorax,Zotu61,0.001932
514,Zotu610,Zotu610,NA,27,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,NA,Zotu610,0.000455
515,Zotu382,Zotu382,NA,27,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,uncultured_bacterium,Zotu382,0.000864
516,Zotu611,Zotu611,NA,28,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,MM1,uncultured_bacterium,Zotu611,0.000392
517,Zotu10706,Zotu10706,NA,28,diff,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylobacillus,uncultured_bacterium,Zotu10706,0.000175
518,Zotu612,Zotu612,NA,8,other,Bacteria,Verrucomicrobiota,Lentisphaeria,Oligosphaerales,Lenti-02,Lenti-02,metagenome,Zotu612,0.000442
519,Zotu614,Zotu614,NA,1,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu614,0.000272
520,Zotu1415,Zotu1415,NA,1,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu1415,0.00011
521,Zotu615,Zotu615,NA,8,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu615,0.00017
522,Zotu6206,Zotu6206,NA,0,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,uncultured,uncultured_bacterium,Zotu6206,0.003854
523,Zotu621,Zotu621,NA,13,other,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA,NA,Zotu621,0.000252
524,Zotu623,Zotu623,NA,0,other,Bacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,Zixibacteria,uncultured_bacterium,Zotu623,0.000354
525,Zotu625,Zotu625,NA,0,diff,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,NA,Zotu625,0.00023
526,Zotu1094,Zotu1094,NA,0,other,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured,uncultured,uncultured_bacterium,Zotu1094,0.000186
