Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu2167,Zotu2167,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,NA,Zotu2167,0.000107,3,2,5
Zotu217,Zotu217,,other,Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085,uncultured_bacterium,Zotu217,0.000549,52,31,83
Zotu2170,Zotu2170,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,uncultured,uncultured_bacterium,Zotu2170,0.000143,28,20,48
Zotu1531,Zotu1531,,other,Bacteria,Chloroflexi,NLS2-31,NLS2-31,NLS2-31,NLS2-31,uncultured_bacterium,Zotu1531,0.000114,2,0,2
Zotu2174,Zotu2174,,other,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,uncultured,NA,Zotu2174,0.000105,8,4,12
Zotu2175,Zotu2175,,other,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae,metagenome,Zotu2175,0.000102,22,17,39
Zotu2176,Zotu2176,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Georgfuchsia,uncultured_bacterium,Zotu2176,0.000254,6,2,8
Zotu219,Zotu219,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geotalea,uncultured_bacterium,Zotu219,0.001497,8,9,17
Zotu22,Zotu22,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu22,0.00221,11,15,26
Zotu220,Zotu220,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2,metagenome,Zotu220,0.000251,4,7,11
Zotu2201,Zotu2201,,other,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,NA,NA,Zotu2201,0.000116,4,7,11
Zotu221,Zotu221,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,NA,Zotu221,0.001219,29,31,60
Zotu222,Zotu222,,other,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae,NA,Zotu222,0.001405,5,3,8
Zotu2224,Zotu2224,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu2224,0.000138,9,5,14
Zotu2227,Zotu2227,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu2227,0.000108,2,3,5
Zotu223,Zotu223,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,uncultured_bacterium,Zotu223,0.001047,42,40,82
