Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu59,Zotu59,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis,NA,Zotu59,0.000593,8,18,26
Zotu592,Zotu592,,other,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,NA,Zotu592,0.00037,2,6,8
Zotu5944,Zotu5944,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu5944,0.000139,29,56,85
Zotu597,Zotu597,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,NA,Zotu597,0.000424,4,16,20
Zotu60,Zotu60,,other,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,NA,Zotu60,0.002124,26,80,106
Zotu600,Zotu600,,other,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,Kapabacteriales,uncultured_bacterium,Zotu600,0.000447,3,12,15
Zotu1665,Zotu1665,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu1665,0.000124,1,0,1
Zotu605,Zotu605,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,NA,Zotu605,0.000316,41,90,131
Zotu606,Zotu606,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Agrobacterium_larrymoorei,Zotu606,0.000148,0,1,1
Zotu608,Zotu608,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,uncultured_bacterium,Zotu608,0.000397,20,29,49
Zotu609,Zotu609,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu609,0.000232,9,18,27
Zotu61,Zotu61,,other,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,uncultured_Anaerovorax,Zotu61,0.000493,2,11,13
Zotu612,Zotu612,,other,Bacteria,Verrucomicrobiota,Lentisphaeria,Oligosphaerales,Lenti-02,Lenti-02,metagenome,Zotu612,0.000448,39,122,161
Zotu613,Zotu613,,other,Bacteria,Chloroflexi,NA,NA,NA,NA,NA,Zotu613,0.000323,10,29,39
Zotu1531,Zotu1531,,other,Bacteria,Chloroflexi,NLS2-31,NLS2-31,NLS2-31,NLS2-31,uncultured_bacterium,Zotu1531,0.000107,1,0,1
Zotu614,Zotu614,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,Bacteroidetes_BD2-2,uncultured_prokaryote,Zotu614,0.000258,52,131,183
Zotu615,Zotu615,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu615,0.000162,24,72,96
