Id,Label,timeset,label3,kingdom,phylum,class,order,family,genus,species,name,abun,indegree,outdegree,degree
Zotu81,Zotu81,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,SC-I-84,NA,Zotu81,0.000163,0,1,1
Zotu818,Zotu818,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,NA,Zotu818,0.000242,1,3,4
Zotu824,Zotu824,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,uncultured_bacterium,Zotu824,0.000166,1,6,7
Zotu825,Zotu825,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,NA,Zotu825,0.000791,0,9,9
Zotu8276,Zotu8276,,other,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,uncultured_soil,Zotu8276,0.002902,4,74,78
Zotu83,Zotu83,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,[Cytophaga]_xylanolytica_group,uncultured_bacterium,Zotu83,0.000855,0,3,3
Zotu833,Zotu833,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2,metagenome,Zotu833,0.00022,0,6,6
Zotu851,Zotu851,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu851,0.000323,1,21,22
Zotu87,Zotu87,,other,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobiaceae,NA,Zotu87,0.000186,1,3,4
Zotu876,Zotu876,,other,Bacteria,NA,NA,NA,NA,NA,NA,Zotu876,0.000353,2,62,64
Zotu881,Zotu881,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu881,0.000539,0,19,19
Zotu885,Zotu885,,other,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,NA,Zotu885,0.00015,0,3,3
Zotu899,Zotu899,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu899,0.000226,4,36,40
Zotu9,Zotu9,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Afipia,NA,Zotu9,0.037072,1,2,3
Zotu91,Zotu91,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu91,0.001953,1,4,5
Zotu92,Zotu92,,other,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,Turneriella,uncultured_bacterium,Zotu92,0.002596,0,59,59
Zotu9203,Zotu9203,,other,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,NA,NA,Zotu9203,0.000404,1,51,52
Zotu9243,Zotu9243,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,uncultured_bacterium,Zotu9243,0.000432,0,22,22
Zotu13752,Zotu13752,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu13752,0.000125,1,0,1
Zotu93,Zotu93,,other,Bacteria,Nitrospirota,4-29-1,4-29-1,4-29-1,4-29-1,NA,Zotu93,0.000108,0,10,10
Zotu69,Zotu69,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,MM2,uncultured_bacterium,Zotu69,0.001154,1,0,1
Zotu94,Zotu94,,other,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,BIrii41,NA,Zotu94,0.001179,2,22,24
Zotu9486,Zotu9486,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA,Zotu9486,0.000753,1,31,32
Zotu95,Zotu95,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu95,0.002526,0,21,21
Zotu406,Zotu406,,other,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA,Zotu406,0.000362,1,0,1
Zotu955,Zotu955,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu955,0.0004,0,1,1
Zotu1142,Zotu1142,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,NA,NA,Zotu1142,0.000423,1,0,1
Zotu968,Zotu968,,other,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,SB-5,SB-5,uncultured_bacterium,Zotu968,0.00016,1,27,28
Zotu98,Zotu98,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,NA,NA,Zotu98,0.001326,0,16,16
Zotu9875,Zotu9875,,other,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,NA,Zotu9875,0.002513,0,42,42
Zotu995,Zotu995,,other,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA,Zotu995,0.000286,0,2,2
