"","X","Id","Label","timeset","modularity_class","labeldiff","kingdom","phylum","class","order","family","genus","species","name","abun","module2"
"34",34,"Zotu12413","Zotu12413",NA,7,"other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu12413",0.000223,"7"
"35",35,"Zotu12783","Zotu12783",NA,7,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu12783",0.000243,"7"
"36",36,"Zotu128","Zotu128",NA,22,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu128",0.001979,"other"
"37",37,"Zotu1289","Zotu1289",NA,4,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,"Zotu1289",0.000228,"other"
"38",38,"Zotu1312","Zotu1312",NA,16,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,"Zotu1312",0.000118,"other"
"39",39,"Zotu1052","Zotu1052",NA,16,"other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter","uncultured_bacterium","Zotu1052",0.000379,"other"
"40",40,"Zotu132","Zotu132",NA,8,"other","Bacteria","Bacteroidota","SJA-28","SJA-28","SJA-28","SJA-28","uncultured_bacterium","Zotu132",0.000202,"8"
"41",41,"Zotu13220","Zotu13220",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,"Zotu13220",0.000161,"7"
"42",42,"Zotu13236","Zotu13236",NA,7,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu13236",0.000684,"7"
"43",43,"Zotu1","Zotu1",NA,8,"diff","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","uncultured","uncultured_Georgfuchsia","Zotu1",0.065081,"8"
"44",44,"Zotu133","Zotu133",NA,8,"other","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae","uncultured_bacterium","Zotu133",0.000199,"8"
"45",45,"Zotu1331","Zotu1331",NA,16,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum","uncultured_bacterium","Zotu1331",0.000221,"other"
"46",46,"Zotu135","Zotu135",NA,22,"other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured_soil","Zotu135",0.000533,"other"
