SampleID	Gammaproteobacteria	Myxococcota	Bacteroidota	Desulfobacterota	Alphaproteobacteria	Firmicutes	Spirochaetota	Nitrospirota	Verrucomicrobiota	Acidobacteriota	Others
E2_NRE_Int4_3	0.446582805	0.163516159	0.095569213	0.018519786	0.065975882	0.027882338	0.080950491	0.011634751	0.005680496	0.01004695	0.07364113
E2_NRE_Int5_1	0.30427299	0.176618038	0.091392189	0.030430641	0.048277937	0.158336258	0.114754098	0.02601895	0.004127605	0.006801357	0.038969937
E2_NRE_Int5_2	0.403673884	0.138716486	0.089580239	0.040709763	0.049980458	0.075431877	0.09469241	0.037786289	0.004564996	0.008660986	0.056202611
E2_NRE_Int5_3	0.431869804	0.108220143	0.076386681	0.029266797	0.065359106	0.119929133	0.090866761	0.027211193	0.004610912	0.00583746	0.040442012
E2_NRS_Int2_1	0.366569121	0.06785793	0.115632078	0.081647993	0.061063118	0.017768736	0.018029304	0.041089575	0.052654787	0.037551863	0.140135495
E2_NRS_Int2_2	0.315564424	0.066071975	0.071828851	0.076813972	0.045491837	0.033248046	0.01750007	0.056762244	0.039978307	0.050595155	0.226145118
E2_NRS_Int2_3	0.31132373	0.055587457	0.093592035	0.080853748	0.045437267	0.038036929	0.0164425	0.057091788	0.03968684	0.049060602	0.212887102
E2_NRS_Int3_1	0.292271202	0.046320722	0.079098693	0.072607891	0.038580354	0.118477381	0.013340275	0.057341201	0.043243087	0.047419877	0.191299317
E2_NRS_Int3_2	0.337862976	0.055955082	0.073621824	0.06969147	0.043387024	0.094311479	0.016764973	0.049682396	0.039853675	0.036388385	0.182480717
E2_NRS_Int3_3	0.288067477	0.073102985	0.075097165	0.069368984	0.051228049	0.096209023	0.021223776	0.039629245	0.027155444	0.055511467	0.203406385
E2_NRS_Int4_1	0.293004653	0.066098143	0.063877245	0.073433835	0.048080991	0.064973272	0.013479214	0.049734646	0.037764873	0.047350306	0.242202823
E2_NRS_Int4_2	0.343715401	0.081170247	0.077703345	0.090665086	0.05397184	0.036570227	0.021170471	0.052596262	0.038683919	0.035451872	0.16830133
E2_NRS_Int4_3	0.300917998	0.070661914	0.073907762	0.084402007	0.044525867	0.02922259	0.014984667	0.061432156	0.039268788	0.044525867	0.236150384
E2_NRS_Int5_1	0.318168068	0.070361183	0.090658842	0.057323492	0.061437474	0.091838587	0.023110896	0.040746567	0.033910097	0.036481336	0.175963458
E2_NRS_Int5_2	0.345902361	0.060372198	0.099651064	0.078667756	0.049275408	0.052183207	0.01827984	0.048332338	0.043302631	0.039184559	0.164848637
E2_NRS_Int5_3	0.327097137	0.068598155	0.078558746	0.062838335	0.102031094	0.056125763	0.030553029	0.0416396	0.03174397	0.033086484	0.167727686
E2_unplanted_soil_1	0.243393782	0.056439674	0.096188009	0.055866025	0.050203553	0.092931162	0.003811991	0.031273131	0.045207254	0.061787565	0.262897853
E2_unplanted_soil_2	0.246320115	0.060651262	0.093833554	0.058146407	0.059441051	0.086150122	0.006473221	0.030142692	0.040077679	0.055219386	0.26354451
E2_unplanted_soil_3	0.284949521	0.051467807	0.090017748	0.054057199	0.067440575	0.064414768	0.004305956	0.02432283	0.042564953	0.054930028	0.261528614
E2_unplanted_soil_4	0.263480029	0.051886992	0.110339277	0.07431488	0.063619806	0.04000593	0.007793638	0.027489517	0.034245415	0.052395273	0.274429243
