"","SampleID","observed_otu","evenness","Shannon","ACE","Simpson","Fisher","Chao1"
"29","E1_MRS_Def3_2","3242.17","101.611822925083","6.70053813470122","5555.05194009081","0.990146124566885","1270.50211025625","5255.26534483534"
"30","E1_MRS_Def3_3","3366.95","230.970166083459","6.98399003400427","5620.49395442213","0.99566516147015","1348.27778390817","5320.77054221516"
"31","E1_MRS_Def5_1","3356.45","299.885236990821","7.00833679895738","5666.7822056546","0.99666233946065","1341.65130131476","5383.88366836328"
"32","E1_MRS_Def5_2","3584.98","323.325582041418","7.13871359467915","6281.81683151666","0.9969034211787","1490.13683471747","5940.96052920439"
"33","E1_MRS_Def5_3","3444.18","322.081203225405","7.09367428350956","5801.03969628765","0.996892074625119","1397.64040166679","5514.9379568885"
"34","E1_MRS_Def7_1","3214.94","179.743641818991","6.81765147776312","5658.26570538996","0.994431251844625","1253.85971590162","5362.71622830758"
"35","E1_MRS_Def7_2","3297.15","242.322491765888","6.96448911816786","5538.95611040494","0.995868965169684","1304.47904282962","5219.89768062268"
"36","E1_MRS_Def7_3","3076.15","85.1522914775202","6.55303659046612","5493.83854165396","0.988241562126372","1170.76389774252","5207.49657197872"
"37","E1_MRS_Int1_1","3646.1","360.121744819765","7.21275385651117","6300.92961632111","0.997219733916146","1531.28586100081","6027.9807032916"
"38","E1_MRS_Int1_2","3470.63","129.748397903916","6.86363229368689","6217.59961694496","0.992280554831965","1414.78044383693","5887.33206602886"
"39","E1_MRS_Int1_3","3389.01","113.994420649547","6.83848703491098","5876.26116393879","0.991214988746747","1362.29249543369","5580.11632127593"
"40","E1_MRS_Int3_1","3517.58","282.967675057926","7.0971599968286","5815.45169701263","0.996462062979837","1445.45948266669","5517.26261143887"
"41","E1_MRS_Int3_2","3610.83","393.820539984385","7.19300495938693","6097.0328034786","0.997458597759136","1507.44902117182","5787.35543727163"
"42","E1_MRS_Int3_3","3566.77","318.134182386221","7.13443115118868","6004.28688501343","0.996853070963342","1477.97949322563","5690.29483971136"
"43","E1_MRS_Int5_1","3439.92","403.397168657915","7.13305213565173","5903.49399601055","0.997519044567284","1394.92187497414","5603.45196687212"
"44","E1_MRS_Int5_2","3488.91","280.378520862447","7.08991582043974","6152.15632006111","0.996427418250991","1426.68714167631","5844.68611165728"
"45","E1_MRS_Int5_3","3714.8","530.850120113867","7.29910134115504","6358.12584140681","0.998114752391852","1578.32724332319","6042.0423734043"
"46","E1_MRS_Int7_1","3408.73","207.260847603052","6.9515145465315","5860.08828138784","0.99516772486547","1374.87681671017","5490.3343278839"
"47","E1_MRS_Int7_2","3454.25","343.55485605509","7.08268822646153","5857.15368370881","0.997086782479286","1404.13130405773","5522.80594358062"
"48","E1_MRS_Int7_3","3278.16","275.686384751967","7.04178845994387","5120.8741727129","0.99636778448375","1292.68545125501","4816.05183397905"
"49","E1_NRE_Def1_1","806.51","25.0634243995039","4.54239453210906","1063.29276259388","0.96008717998611","182.294718190022","1043.75633121713"
"50","E1_NRE_Def1_2","658.16","13.3362157270207","3.96876615950384","797.364744621273","0.92499422877687","140.594821810994","782.559812709487"
"51","E1_NRE_Def1_3","1181.15","11.2941658382441","4.2579394764706","2007.44269651129","0.911422149304303","300.344276720757","1911.31421407218"
"52","E1_NRE_Def3_1","1041.43","21.7504994706856","4.5408827555455","1721.92470866112","0.954003994024738","254.238248417214","1585.08533838666"
"53","E1_NRE_Def3_2","978.2","15.5706460253324","4.23722137777381","1716.78879735746","0.935752005779308","234.183055136316","1616.77793115629"
"54","E1_NRE_Def3_3","1299.21","26.0356461095134","4.79580283486015","2313.83772418222","0.961570396167258","341.211405675827","2158.13128362583"
"55","E1_NRE_Def5_1","962.63","17.1830579679049","4.27470841249278","1585.64822730685","0.941779979032713","229.317023478759","1503.63541635593"
"56","E1_NRE_Def5_2","996.67","12.5290783276619","4.0407286041368","1975.73069734416","0.920155585515144","239.996192051081","1866.02858689585"
"57","E1_NRE_Def5_3","947.56","16.1467282493994","4.28635916510177","1698.26968632592","0.938042761057716","224.648605133423","1603.55350281474"
"58","E1_NRE_Def7_1","1213.29","19.290789514193","4.69799198260105","2021.24496602503","0.948134418521254","311.290634808077","1900.65878394827"
"59","E1_NRE_Def7_2","1206.13","16.2561103857947","4.40386890123771","2296.03618152107","0.938461926257632","308.856192833705","2164.47872163637"
"60","E1_NRE_Def7_3","1052.5","16.6093370237373","4.2291586047221","1856.06691202003","0.939771722326627","257.805192539966","1729.76276907633"
"61","E1_NRE_Int1_1","1083.12","17.0032349643175","4.30812925357","1628.78177088061","0.94116846288572","267.736469559513","1606.77207777335"
"62","E1_NRE_Int1_2","1076.35","15.1767756981072","4.40469183086355","1609.37579227239","0.934086187973544","265.533598381548","1544.95796929661"
"63","E1_NRE_Int1_3","937.91","21.7527375007072","4.44420203751315","1385.59812894884","0.954015194466362","221.663227530761","1367.40669947416"
"64","E1_NRE_Int3_1","1038.64","20.507305838067","4.44070272420787","1634.61819129183","0.951217912401847","253.341702316191","1519.42079816458"
"65","E1_NRE_Int3_2","1210.9","17.2815999243285","4.53238558992771","2193.11732253017","0.942105911883986","310.479512459724","2041.24351821969"
"66","E1_NRE_Int3_3","1146.64","29.9553719516333","4.71509109522921","1924.85783072947","0.966606124633525","288.733714029799","1785.3130453133"
"67","E1_NRE_Int5_1","1227.44","15.2238434657768","4.4847658498239","2284.53128042088","0.934285316090494","316.157924474651","2172.07963219786"
"68","E1_NRE_Int5_2","915.96","9.46532808899844","3.85553149539635","1697.67372664317","0.894321409726027","214.93297102235","1615.08915615791"
"69","E1_NRE_Int5_3","1022.88","12.8243851916961","4.20058867623356","1924.35123808285","0.921995430182648","248.312520341819","1839.76273153045"
"70","E1_NRE_Int7_1","1019.61","18.7009542143095","4.34086584215294","2020.32224976669","0.946509535161362","247.263388797507","1888.40785945422"
"71","E1_NRE_Int7_2","1106.67","20.7721210734595","4.4509902895082","2023.41654271476","0.95184416904155","275.463869728349","1911.35401605281"
"72","E1_NRE_Int7_3","1107.97","9.78706536230977","4.11291074342058","2093.05450750261","0.897779665905323","275.898527636556","1990.62467352261"
"73","E1_NRS_Def1_1","2901.74","136.251454591419","6.65764602420065","4474.98777017321","0.992653174302815","1070.3806447013","4287.9035604168"
