"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu642","Zotu642","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Ancalomicrobiaceae","Ancalomicrobium","Ancalomicrobium_adetum","Zotu642",0.00011106848443983
"Zotu650","Zotu650","Bacteria","Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49",NA,"Zotu650",0.000288243193084727
"Zotu651","Zotu651","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","uncultured",NA,"Zotu651",0.00056210626130964
"Zotu652","Zotu652","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu652",0.000474746128995552
"Zotu657","Zotu657","Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",NA,"Zotu657",0.000227878152229932
"Zotu66","Zotu66","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15",NA,"Zotu66",0.000344820584185886
"Zotu660","Zotu660","Bacteria","Acidobacteriota","Holophagae","Subgroup_7","Subgroup_7","Subgroup_7","Acidobacteria_bacterium","Zotu660",0.000195631859648441
"Zotu669","Zotu669","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured_bacterium","Zotu669",0.000501996747795057
"Zotu67","Zotu67","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15","uncultured_delta","Zotu67",0.000342012784578778
"Zotu670","Zotu670","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu670",0.000393778869587905
"Zotu68","Zotu68","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu68",0.0031395576426527
"Zotu683","Zotu683","Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","uncultured","uncultured",NA,"Zotu683",0.00022039040255895
"Zotu6852","Zotu6852","Bacteria","Myxococcota","Myxococcia","Myxococcales",NA,NA,NA,"Zotu6852",0.000338426719297291
"Zotu69","Zotu69","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2","uncultured_bacterium","Zotu69",0.000834389081945954
"Zotu691","Zotu691","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae","uncultured","uncultured_bacterium","Zotu691",0.000123030688962756
"Zotu695","Zotu695","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu695",0.000161265062705498
"Zotu7","Zotu7","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured_bacterium","Zotu7",0.029695738729389
"Zotu70","Zotu70","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_bacterium","Zotu70",0.00244771042021354
"Zotu700","Zotu700","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu700",0.00062760142629651
"Zotu702","Zotu702","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Zotu702",0.000108389875401604
"Zotu705","Zotu705","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_Stigmatella","Zotu705",0.00029121963694127
"Zotu709","Zotu709","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas",NA,"Zotu709",0.000167852200125868
"Zotu711","Zotu711","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter","uncultured_prokaryote","Zotu711",0.00018037715178261
"Zotu714","Zotu714","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu714",0.000625543051916123
"Zotu715","Zotu715","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Zotu715",0.00010154472983738
"Zotu716","Zotu716","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu716",0.000482144197952432
"Zotu724","Zotu724","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu724",0.000242072069328012
"Zotu73","Zotu73","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_soil","Zotu73",0.00244910012442614
"Zotu736","Zotu736","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Zotu736",0.000151370460440941
"Zotu737","Zotu737","Bacteria","Actinobacteriota","Acidimicrobiia","uncultured","uncultured","uncultured",NA,"Zotu737",0.000112790988985806
"Zotu739","Zotu739","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis","uncultured_bacterium","Zotu739",0.000232454711036063
"Zotu7399","Zotu7399","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Leptothrix",NA,"Zotu7399",0.00023120873328824
"Zotu764","Zotu764","Bacteria","Desulfobacterota","Syntrophorhabdia","Syntrophorhabdales","Syntrophorhabdaceae","Syntrophorhabdus","uncultured_bacterium","Zotu764",0.000206213258232204
"Zotu765","Zotu765","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Zotu765",0.00033412534328327
