"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu5452","Zotu5452","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola",NA,"Zotu5452",0.000160413931549212
"Zotu546","Zotu546","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Herbinix","uncultured_bacterium","Zotu546",0.000496324560327443
"Zotu547","Zotu547","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA,"Zotu547",0.000156388340148821
"Zotu551","Zotu551","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","uncultured","uncultured_bacterium","Zotu551",0.000261342688154461
"Zotu558","Zotu558","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu558",0.000128257166961897
"Zotu56","Zotu56","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu56",0.00459806881506717
"Zotu565","Zotu565","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Kouleothrix","uncultured_bacterium","Zotu565",0.000396668461336101
"Zotu567","Zotu567","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium","Zotu567",0.000112567449594297
"Zotu5695","Zotu5695","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","uncultured_beta","Zotu5695",0.000152010709618941
"Zotu572","Zotu572","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_bacterium","Zotu572",0.000407776076055117
"Zotu573","Zotu573","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA,"Zotu573",0.000651332385740811
