"","level1","Exp1_MH63_Rhizosphere_day1_logFC","Exp1_MH63_Rhizosphere_day1_p_values","Exp1_MH63_Rhizosphere_day3_logFC","Exp1_MH63_Rhizosphere_day3_p_values","Exp1_MH63_Rhizosphere_day5_logFC","Exp1_MH63_Rhizosphere_day5_p_values","Exp1_MH63_Rhizosphere_day7_logFC","Exp1_MH63_Rhizosphere_day7_p_values","Exp2_MH63_Rhizosphere_day2_logFC","Exp2_MH63_Rhizosphere_day2_p_values","Exp2_MH63_Rhizosphere_day3_logFC","Exp2_MH63_Rhizosphere_day3_p_values","Exp2_MH63_Rhizosphere_day4_logFC","Exp2_MH63_Rhizosphere_day4_p_values","Exp2_MH63_Rhizosphere_day5_logFC","Exp2_MH63_Rhizosphere_day5_p_values","Exp1_NIP_Rhizosphere_day1_logFC","Exp1_NIP_Rhizosphere_day1_p_values","Exp1_NIP_Rhizosphere_day3_logFC","Exp1_NIP_Rhizosphere_day3_p_values","Exp1_NIP_Rhizosphere_day5_logFC","Exp1_NIP_Rhizosphere_day5_p_values","Exp1_NIP_Rhizosphere_day7_logFC","Exp1_NIP_Rhizosphere_day7_p_values","Exp2_NIP_Rhizosphere_day2_logFC","Exp2_NIP_Rhizosphere_day2_p_values","Exp2_NIP_Rhizosphere_day3_logFC","Exp2_NIP_Rhizosphere_day3_p_values","Exp2_NIP_Rhizosphere_day4_logFC","Exp2_NIP_Rhizosphere_day4_p_values","Exp2_NIP_Rhizosphere_day5_logFC","Exp2_NIP_Rhizosphere_day5_p_values","feature","level2","level3"
"WaitData.32","Arachidonic acid metabolism","-0.0038750742773292","0.996268211341632","-0.16142183688204","0.00356863332227418","0.0453596623847139","0.667702766165713","-0.0540439974016488","0.143003211559977","0.178563521004177","0.0682391643467463","-0.10506396725683","0.00286913951815011","-0.0813490771454031","0.0804909729275738","0.0746097179227181","0.207856501794397","-0.0433429005914099","0.473967006022308","-0.027453031347237","0.77915831668373","-0.106681692809141","0.0907093234799579","-0.0117068495301736","0.884856694110007","0.0707342032514506","0.537377562813177","-0.00570532046999547","0.754242919343273","0.114547607573984","0.157132653175972","0.0477553217429279","0.64857485033708","Arachidonic acid metabolism","Lipid metabolism","Metabolism"
"WaitData.40","Chloroalkane and chloroalkene degradation","-0.009735754673102","0.765654890177559","-0.178793257132586","0.000800989112448557","-0.0165791884446722","0.845793986879355","-0.0587989315926779","0.0298476936673747","0.13426796416424","0.0896730431057663","-0.113502421491475","0.00741241846737966","-0.0998858771625032","0.0486517927492112","0.0371765950828385","0.378095128491765","-0.0489636203050749","0.169743196125374","-0.0643515483993124","0.251650125720695","-0.0966307952456334","0.152050393847658","-0.0245246886120965","0.799019797651239","0.076185211305635","0.205289267183468","-0.0515879581991052","0.222705277440137","0.125779088337716","0.241841506222034","-0.000145281633232068","0.978955229527376","Chloroalkane and chloroalkene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"WaitData.42","Aminobenzoate degradation","-0.0573397762947582","0.601742757389324","-0.268243278416802","0.00597354931682584","0.0512874414625933","0.71491990264478","-0.0610114904170784","0.558484379801113","0.172939927505162","0.0604726598053012","-0.10738414173312","0.00425166864049791","-0.0940726886950778","0.0878804579300559","0.0375530740808187","0.611311732657686","-0.0576634703148965","0.531870597254661","-0.0211098728809316","0.798782090058846","-0.18462727019451","0.00482903888488633","-0.0370043838860355","0.656237082258063","0.0243363710016361","0.764337364365896","-0.0297921676583632","0.474503777584365","0.163239325216288","0.0871885286107508","-0.066009870339746","0.741386321670057","Aminobenzoate degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"WaitData.43","Naphthalene degradation","0.0118539833397428","0.983456234207678","-0.27005479875028","0.00218764353956861","0.0117436852340168","0.928691855172489","-0.0759892898142369","0.287601605099945","0.155752008010218","0.073108813275003","-0.100877219964759","0.00893743593204438","-0.104734102714045","0.0484065869485486","0.0441407443445827","0.41490720180031","-0.0492094968009708","0.416410425935861","-0.0502605052422253","0.482841076632266","-0.165474392174565","0.0424666362295323","-0.0597218441532521","0.501318854763775","0.0471488791036004","0.571342836687153","0.00404045734688399","0.954153660572297","0.135458143150334","0.0801407308841612","-0.0250630865517565","0.882358946883435","Naphthalene degradation","Xenobiotics biodegradation and metabolism","Metabolism"
"WaitData.115","Retinol metabolism","0.0454253290396692","0.629653277648152","-0.194070546869498","0.00470506568085673","-0.0088316777878469","0.952388414047073","-0.0767837293280574","0.00483829982183071","0.175684495719278","0.066939307747017","-0.10053659741888","0.0133555997977457","-0.0968962776788669","0.00449798560915695","0.0613303393799133","0.142557820689204","-0.0715662358262411","0.249700341554802","-0.0520185276322976","0.238194655189557","-0.0172943746650604","0.705479601403172","-0.00117659153381024","0.979908610814082","0.0623029966936167","0.303529951528003","0.0519881537823549","0.327146701525774","0.133955153959401","0.139239463339719","0.0540038842880475","0.70563098156857","Retinol metabolism","Metabolism of cofactors and vitamins","Metabolism"
"WaitData.135","Limonene and pinene degradation","0.0623160581121376","0.680420268683411","-0.223560365165866","0.00631283641320242","0.0444211112134432","0.735468418166865","-0.053672344525441","0.447894403657421","0.253578739486066","0.0147929840389261","-0.109967112363046","0.00192405242394634","-0.12106560593651","0.0451350839817804","0.0717519733023752","0.278335599081132","-0.0230399324260482","0.757908913612602","-0.0310354373092277","0.669671358050352","-0.150681952231684","0.00982936508307125","-0.0390564905981377","0.636873007775465","0.099324132354947","0.286720858691558","-0.0217794658702746","0.643255649647445","0.171102154286033","0.0681683137931484","-0.00146518802176329","0.978353434023946","Limonene and pinene degradation","Metabolism of terpenoids and polyketides","Metabolism"
"WaitData.150","Caprolactam degradation","-0.0606514062277418","0.418266578099149","-0.351543767104893","0.00492049604110876","0.0580583571562457","0.714184108556346","-0.115608432222845","0.310881723528501","0.283770196860223","0.0434338560727112","-0.152726277788955","0.00454963828770917","-0.140641871460634","0.0495532822704186","0.0723676936953664","0.379332683970937","-0.0460243301193583","0.617802862791604","-0.0921566424721216","0.358823819786694","-0.241682610451297","0.0165010541373629","-0.137437876973315","0.182405694090871","0.0940515365680068","0.511970980381631","-0.0412004300020077","0.636622676159491","0.177764552325669","0.0429825725962607","-0.0169166047997203","0.954095362754992","Caprolactam degradation","Xenobiotics biodegradation and metabolism","Metabolism"
