"","feature","method","group1","group2","p_values","adj_method","p_adjust","Compartment","Experiment","Variety","Timepoint","logFC","int_all","def_all"
"37","ko00450","LinDA","Defoliation","Intact","0.837677486890122","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0365952196257005,0.0078663457182869,0.00766931843821607
"38","ko01051","LinDA","Defoliation","Intact","0.730253014689441","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.047386091874222,0.000914348832322768,0.000944879767502314
"39","ko00565","LinDA","Defoliation","Intact","0.626046761905729","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.457210074578512,0.000125860737237715,0.000172792233407384
"40","ko00524","LinDA","Defoliation","Intact","0.443455817660692","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0797336056155476,0.000817435193909915,0.000773483626866836
"41","ko00300","LinDA","Defoliation","Intact","0.9672917751683","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.00333999800222086,0.0104183798968895,0.0103942880976857
"42","ko00905","LinDA","Defoliation","Intact","0.505176736691823","BH",0.999592632031329,"Root","Exp1","NIP","day1",-1.21775541693996,1.44917392455465e-08,6.23073962723119e-09
"43","ko05222","LinDA","Defoliation","Intact","0.19206642826487","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.159618281184235,0.000914741163354565,0.00102175815646005
"44","ko05416","LinDA","Defoliation","Intact","0.191974388107678","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.159665193135676,0.000914680985839763,0.00102172416143291
"45","ko00260","LinDA","Defoliation","Intact","0.959989063238835","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0106658601176272,0.0138845692117805,0.0137822989490831
"46","ko00190","LinDA","Defoliation","Intact","0.850253423478152","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0165338971512681,0.0255155435717534,0.0258096445667464
"47","ko03440","LinDA","Defoliation","Intact","0.848214519175394","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0181644742245769,0.0121579477790059,0.0123119920178837
"48","ko00750","LinDA","Defoliation","Intact","0.797856549153239","BH",0.999592632031329,"Root","Exp1","NIP","day1",0.0250192543416091,0.00294153637986548,0.00299299347459589
"49","ko00950","LinDA","Defoliation","Intact","0.664837953381774","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0717355379243971,0.00105005231470794,0.000999117090595479
"50","ko05140","LinDA","Defoliation","Intact","0.758095709612033","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.870205620174969,6.21403058287445e-08,3.39950271433541e-08
"51","ko00592","LinDA","Defoliation","Intact","0.550944654045699","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0749454984103724,0.00092218011717699,0.000875497501929206
"52","ko00591","LinDA","Defoliation","Intact","0.706287754586564","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0549196914482157,0.000441560296095443,0.000425067148294787
"53","ko00590","LinDA","Defoliation","Intact","0.585785485860344","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.060085256057226,0.00130424958738898,0.00125104589909051
"54","ko00062","LinDA","Defoliation","Intact","0.522059663579021","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.193067677027835,0.000228863390135337,0.000200196815453967
"55","ko00061","LinDA","Defoliation","Intact","0.755553770385385","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.041528598596487,0.0101887015337819,0.00989959633977268
"56","ko03070","LinDA","Defoliation","Intact","0.844228866754806","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0285311588342408,0.0188078019107278,0.0184395070789851
"57","ko00253","LinDA","Defoliation","Intact","0.943548451747305","BH",0.999592632031329,"Root","Exp1","NIP","day1",-0.0136584813488944,0.00288982392756389,0.0028625940885776
