"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu480","Zotu480","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu480",0.00273310258787829
"Zotu482","Zotu482","other","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Zotu482",0.000346633694797478
"Zotu485","Zotu485","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","uncultured","uncultured_bacterium","Zotu485",0.000306563325005702
"Zotu493","Zotu493","other","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41",NA,"Zotu493",0.000101449237629306
"Zotu499","Zotu499","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured","alpha_proteobacterium","Zotu499",0.000456220280405928
"Zotu5","Zotu5","other","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus",NA,"Zotu5",0.000450197360666517
"Zotu507","Zotu507","other","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter",NA,"Zotu507",0.000508454325993859
"Zotu51","Zotu51","diff","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured","uncultured_bacterium","Zotu51",0.00374086031845192
"Zotu511","Zotu511","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_soil","Zotu511",0.000534164316659606
"Zotu512","Zotu512","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","uncultured_bacterium","Zotu512",0.000690589740258471
"Zotu517","Zotu517","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA,"Zotu517",0.000338320407901086
"Zotu52","Zotu52","diff","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ciceribacter","uncultured_bacterium","Zotu52",0.00510957085563552
"Zotu522","Zotu522","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2",NA,"Zotu522",0.000464477490640505
"Zotu527","Zotu527","other","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Zotu527",0.000612445632250159
"Zotu53","Zotu53","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA,"Zotu53",0.00027083841533834
"Zotu533","Zotu533","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter",NA,"Zotu533",0.000357453563459922
"Zotu54","Zotu54","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_vadinHA17","Bacteroidetes_vadinHA17",NA,"Zotu54",0.000274890047159072
"Zotu542","Zotu542","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu542",0.000767224267828554
