"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu552","Zotu552","other","Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA,"Zotu552",0.000422498983331697
"Zotu553","Zotu553","other","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacterales","BBMC-4","uncultured_bacterium","Zotu553",0.000113104723710705
"Zotu558","Zotu558","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu558",0.000220728174822833
"Zotu559","Zotu559","other","Bacteria","Firmicutes","Clostridia","Clostridia","Hungateiclostridiaceae","Ruminiclostridium","uncultured_bacterium","Zotu559",0.000501461467016411
"Zotu56","Zotu56","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu56",0.000839757495372343
"Zotu561","Zotu561","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","uncultured","uncultured_bacterium","Zotu561",0.000489372405758319
"Zotu567","Zotu567","other","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","uncultured_bacterium","Zotu567",0.000264257928255952
"Zotu569","Zotu569","other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15","uncultured_Syntrophobacterales","Zotu569",0.000498876300812346
"Zotu570","Zotu570","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067",NA,"Zotu570",0.00040172969976206
"Zotu572","Zotu572","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","uncultured_bacterium","Zotu572",0.000123529985801057
"Zotu575","Zotu575","other","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas",NA,"Zotu575",0.000407673012369655
"Zotu576","Zotu576","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_soil","Zotu576",0.000370147492251768
"Zotu577","Zotu577","other","Bacteria","Acidobacteriota","Acidobacteriae","GOUTB8","GOUTB8","GOUTB8","uncultured_bacterium","Zotu577",0.00040378734303152
"Zotu58","Zotu58","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter",NA,"Zotu58",0.00407249596184109
"Zotu580","Zotu580","other","Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_23",NA,"Zotu580",0.000362873679502574
"Zotu581","Zotu581","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methyloterricola","Methyloterricola_oryzae","Zotu581",0.000435534053263061
"Zotu582","Zotu582","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Zotu582",0.000269843170063773
"Zotu588","Zotu588","other","Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioalkalispira-Sulfurivermis","uncultured_bacterium","Zotu588",0.00033785484425129
"Zotu59","Zotu59","other","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfurifustis",NA,"Zotu59",0.000934534356792429
"Zotu590","Zotu590","other","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","uncultured_Gemmatimonadales","Zotu590",0.000325731227837238
"Zotu591","Zotu591","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",NA,"Zotu591",0.000228170269165932
"Zotu5941","Zotu5941","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","uncultured",NA,"Zotu5941",0.000999960061293228
"Zotu5944","Zotu5944","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","uncultured_bacterium","Zotu5944",0.00019610412094761
"Zotu595","Zotu595","other","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales",NA,NA,NA,"Zotu595",0.000354024551108646
"Zotu596","Zotu596","other","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae","uncultured_bacterium","Zotu596",0.000427967478673715
"Zotu597","Zotu597","other","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta",NA,"Zotu597",0.000349848680629446
"Zotu599","Zotu599","other","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae",NA,"Zotu599",0.000474221389400235
"Zotu60","Zotu60","other","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium",NA,"Zotu60",0.00164806737266983
"Zotu605","Zotu605","other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu605",0.000327193362976561
"Zotu608","Zotu608","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu608",0.00029320322018545
"Zotu609","Zotu609","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Zotu609",0.00020003154966433
"Zotu61","Zotu61","other","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax","uncultured_Anaerovorax","Zotu61",0.00193205474793603
"Zotu610","Zotu610","other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1",NA,"Zotu610",0.000454510245485717
"Zotu611","Zotu611","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM1","uncultured_bacterium","Zotu611",0.000391917645642049
"Zotu612","Zotu612","other","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Lenti-02","Lenti-02","metagenome","Zotu612",0.000442055387011248
"Zotu614","Zotu614","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","uncultured_prokaryote","Zotu614",0.00027184583270161
"Zotu615","Zotu615","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu615",0.000169763920291204
"Zotu6206","Zotu6206","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","uncultured","uncultured_bacterium","Zotu6206",0.00385445228609621
"Zotu621","Zotu621","other","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA,"Zotu621",0.000252121067637506
"Zotu623","Zotu623","other","Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","uncultured_bacterium","Zotu623",0.00035409633368037
"Zotu625","Zotu625","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys",NA,"Zotu625",0.000230111878836582
"Zotu630","Zotu630","other","Bacteria","Bdellovibrionota","Oligoflexia","0319-6G20","0319-6G20","0319-6G20","marine_metagenome","Zotu630",0.00012404308370256
"Zotu631","Zotu631","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu631",0.000192017461126008
"Zotu633","Zotu633","other","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA,"Zotu633",0.000352184593853932
"Zotu636","Zotu636","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_9","uncultured_bacterium","Zotu636",0.000420392947102174
"Zotu639","Zotu639","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu639",0.00028536686649343
"Zotu640","Zotu640","other","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_12","Clostridium_magnum","Zotu640",0.000403981567384293
"Zotu643","Zotu643","other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1",NA,"Zotu643",0.000632949486874834
"Zotu645","Zotu645","other","Bacteria",NA,NA,NA,NA,NA,NA,"Zotu645",0.000287788975106384
"Zotu647","Zotu647","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sulfuricellaceae","Sulfuricella","uncultured_bacterium","Zotu647",0.000348072315995227
"Zotu648","Zotu648","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32",NA,"Zotu648",0.000366622280042038
"Zotu649","Zotu649","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu649",0.000369124729117678
"Zotu652","Zotu652","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu652",0.000372863671442718
"Zotu653","Zotu653","other","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","LD1-PB3","LD1-PB3","uncultured_soil","Zotu653",0.000321386104211182
"Zotu654","Zotu654","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu654",0.000287255196453354
"Zotu655","Zotu655","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","SC-I-84","SC-I-84",NA,"Zotu655",0.000340448592200225
"Zotu659","Zotu659","other","Bacteria","Acidobacteriota","Subgroup_21","Subgroup_21","Subgroup_21","Subgroup_21","uncultured_bacterium","Zotu659",0.000287021034283675
"Zotu66","Zotu66","other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15",NA,"Zotu66",0.00366542302128736
"Zotu663","Zotu663","other","Bacteria","Actinobacteriota","MB-A2-108","MB-A2-108","MB-A2-108","MB-A2-108",NA,"Zotu663",0.000244366105777034
"Zotu665","Zotu665","other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium","Zotu665",0.000367911535034965
"Zotu67","Zotu67","other","Bacteria","MBNT15","MBNT15","MBNT15","MBNT15","MBNT15","uncultured_delta","Zotu67",0.00331833147887468
"Zotu671","Zotu671","other","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium","Zotu671",0.000301532334260783
"Zotu672","Zotu672","other","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured",NA,"Zotu672",0.000310813474826923
"Zotu675","Zotu675","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485","uncultured_soil","Zotu675",0.000323178033403917
"Zotu6752","Zotu6752","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu6752",0.000195462489540824
"Zotu677","Zotu677","other","Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured","uncultured","uncultured_bacterium","Zotu677",0.000332740382651081
"Zotu679","Zotu679","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","uncultured_prokaryote","Zotu679",0.000251056797843342
"Zotu68","Zotu68","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales",NA,NA,NA,"Zotu68",0.000817627003257441
"Zotu689","Zotu689","other","Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA,"Zotu689",0.000310177634050996
"Zotu69","Zotu69","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM2","uncultured_bacterium","Zotu69",0.00283752445933179
"Zotu693","Zotu693","other","Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13","PLTA13","PLTA13","uncultured_gamma","Zotu693",0.000339460326652026
"Zotu694","Zotu694","other","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5","SB-5","uncultured_bacterium","Zotu694",0.000290481055456082
"Zotu695","Zotu695","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas","uncultured_bacterium","Zotu695",0.000216711429063587
"Zotu699","Zotu699","other","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,"Zotu699",0.000461201108146326
"Zotu7","Zotu7","other","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","uncultured","uncultured_bacterium","Zotu7",0.00754374040591745
"Zotu70","Zotu70","other","Bacteria","Nitrospirota","4-29-1","4-29-1","4-29-1","4-29-1","uncultured_bacterium","Zotu70",0.00110608723711422
"Zotu700","Zotu700","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae",NA,NA,"Zotu700",0.000463783719530601
"Zotu701","Zotu701","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylocystis",NA,"Zotu701",0.00025447889348694
"Zotu702","Zotu702","other","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","uncultured","uncultured_bacterium","Zotu702",0.000422932763889528
"Zotu703","Zotu703","other","Bacteria","Actinobacteriota","Coriobacteriia","OPB41","OPB41","OPB41",NA,"Zotu703",0.000252497290245684
"Zotu706","Zotu706","other","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces",NA,"Zotu706",0.000109263860496559
"Zotu709","Zotu709","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas",NA,"Zotu709",0.000241389888044823
"Zotu711","Zotu711","other","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Acidaminobacteraceae","Acidaminobacter","uncultured_prokaryote","Zotu711",0.000310261148874779
"Zotu714","Zotu714","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea",NA,"Zotu714",0.000461399461058031
"Zotu716","Zotu716","other","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu716",0.000227848232757396
